canonical_character_id,preferred_label,canonical_definition,first_definition_source,first_occurrence,origin_type,parent_canonical_ids,parent_relationship,source_reference_codes,related_non_equivalent_concepts,confidence,all_occurrence_count,analysis_occurrence_count,analysis_matrix_count,matrices_present,reference_layer_present,earliest_analysis_year,latest_analysis_year,analysis_span_years,review_status,freeze_phase1_status,freeze_phase1_recommended_confidence,freeze_phase1_note,freeze_phase2_status,freeze_phase2_recommended_confidence,freeze_phase2_note,phase2_parent_canonical_id,freeze_phase3_C12_status,freeze_phase3_C12_recommended_confidence,freeze_phase3_C12_note,freeze_phase4_DE12_status,freeze_phase4_DE12_recommended_confidence,freeze_phase4_DE12_note,freeze_phase5_GA11_status,freeze_phase5_GA11_recommended_confidence,freeze_phase5_GA11_note,freeze_phase6_M26_status,freeze_phase6_M26_recommended_confidence,freeze_phase6_M26_note,v1_freeze_status,v1_freeze_confidence,v1_freeze_note
MC0001,NARIAL_DEPRESSION,"Posterolateral processes of premaxilla and lat- eral processes of maxilla, shape: without midline contact (0); with midline contact forming marked narial depression, subnarial foramen not visible laterally (1).",Wilson (2002),WIL02_REF:C1,baseline,,,,,high,8,7,7,WU09; KN10; C12; DE12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0002,SNOUT_STEPPED,"Premaxillary anterior margin, shape: without step (0); with marked step, anterior portion of skull sharply demarcated (1).",Wilson (2002),WIL02_REF:C2,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0003,MAX_BORDER_ON_NARIS_LONG,"Maxillary border of external naris, length: short, making up much less than one-fourth narial perimeter (0); long, making up more than one- third narial perimeter (1).",Wilson (2002),WIL02_REF:C3,baseline,,,,,high,5,4,4,WU09; KN10; C12; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0004,PREANTORBITAL_F,Preantorbital fenestra: absent (0); present (1).,Wilson (2002),WIL02_REF:C4,baseline,,,,,high,8,7,7,WU09; KN10; GA11; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0005,AMF & SNF NARROWLY SEP'D,"Subnarial foramen and anterior maxillary fora- men, position: well distanced from one another (0); separated by narrow bony isthmus (1).",Wilson (2002),WIL02_REF:C5,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,FROZEN_WITH_PHASE2_REDIRECT,high,Retained canonical ID gained M19/M26 occurrences through a source/definition-level Phase-2 redirect.,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0006,AOF>ORBIT,"Antorbital fenestra, maximum diameter: much shorter than (0) or subequal to (1) orbital maxi- mum diameter.",Wilson (2002),WIL02_REF:C6,baseline,,,,,high,5,4,4,WU09; KN10; C12; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0007,ANTORBITAL_FOSSA_ABSENT,Antorbital fossa: present (0); absent (1).,Wilson (2002),WIL02_REF:C7,baseline,,,,,high,5,4,4,WU09; KN10; C12; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0008,NARES_RETRACTED,"External nares, position: terminal (0); retracted to level of orbit (1); retracted to a position between orbits (2).",Wilson (2002),WIL02_REF:C8,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0009,LARGE_NARIS,"External nares, maximum diameter: shorter (0) or longer (1) than orbital maximum diameter.",Wilson (2002),WIL02_REF:C9,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0010,INFRAORBITAL_REGION_SHORTENED,"Orbital ventral margin, anteroposterior length: broad, with subcircular orbital margin (0); reduced, with acute orbital margin (1).",Wilson (2002),WIL02_REF:C10,baseline,,,,,high,5,4,4,WU09; KN10; C12; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
