occurrence_id,matrix_id,dataset_name,dataset_role,year,source_character_no,canonical_character_id,original_canonical_character_id,source_label,source_definition,source_states,ordering,source_block,relationship_to_canonical,parent_occurrence,parent_canonical_ids,definition_source,source_attribution,source_reference_codes,related_non_equivalent_concepts,mapping_confidence,top_candidates,notes
WIL02_REF:C1,WIL02_REF,Wilson (2002) reference layer,reference,2002,1,MC0001,MC0001,NARIAL_DEPRESSION,"Posterolateral processes of premaxilla and lat- eral processes of maxilla, shape: without midline contact (0); with midline contact forming marked narial depression, subnarial foramen not visible laterally (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C2,WIL02_REF,Wilson (2002) reference layer,reference,2002,2,MC0002,MC0002,SNOUT_STEPPED,"Premaxillary anterior margin, shape: without step (0); with marked step, anterior portion of skull sharply demarcated (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C3,WIL02_REF,Wilson (2002) reference layer,reference,2002,3,MC0003,MC0003,MAX_BORDER_ON_NARIS_LONG,"Maxillary border of external naris, length: short, making up much less than one-fourth narial perimeter (0); long, making up more than one- third narial perimeter (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C4,WIL02_REF,Wilson (2002) reference layer,reference,2002,4,MC0004,MC0004,PREANTORBITAL_F,Preantorbital fenestra: absent (0); present (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C5,WIL02_REF,Wilson (2002) reference layer,reference,2002,5,MC0005,MC0005,AMF & SNF NARROWLY SEP'D,"Subnarial foramen and anterior maxillary fora- men, position: well distanced from one another (0); separated by narrow bony isthmus (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C6,WIL02_REF,Wilson (2002) reference layer,reference,2002,6,MC0006,MC0006,AOF>ORBIT,"Antorbital fenestra, maximum diameter: much shorter than (0) or subequal to (1) orbital maxi- mum diameter.",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C7,WIL02_REF,Wilson (2002) reference layer,reference,2002,7,MC0007,MC0007,ANTORBITAL_FOSSA_ABSENT,Antorbital fossa: present (0); absent (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C8,WIL02_REF,Wilson (2002) reference layer,reference,2002,8,MC0008,MC0008,NARES_RETRACTED,"External nares, position: terminal (0); retracted to level of orbit (1); retracted to a position between orbits (2).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C9,WIL02_REF,Wilson (2002) reference layer,reference,2002,9,MC0009,MC0009,LARGE_NARIS,"External nares, maximum diameter: shorter (0) or longer (1) than orbital maximum diameter.",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C10,WIL02_REF,Wilson (2002) reference layer,reference,2002,10,MC0010,MC0010,INFRAORBITAL_REGION_SHORTENED,"Orbital ventral margin, anteroposterior length: broad, with subcircular orbital margin (0); reduced, with acute orbital margin (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C11,WIL02_REF,Wilson (2002) reference layer,reference,2002,11,MC0011,MC0011,LACRIMAL_ANTERIOR_PROCESS_ABSEN,"Lacrimal, anterior process: present (0); absent (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C12,WIL02_REF,Wilson (2002) reference layer,reference,2002,12,MC0012,MC0012,J-ECT CONTACT ABSENT,Jugal-ectopterygoid contact: present (0); absent (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C13,WIL02_REF,Wilson (2002) reference layer,reference,2002,13,MC0013,MC0013,J_CONTR_TO_AOF,"Jugal, contribution to antorbital fenestra: very reduced or absent (0); large, bordering approxi- mately one-third its perimeter (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C14,WIL02_REF,Wilson (2002) reference layer,reference,2002,14,MC0014,MC0014,PRF_ENLARGED,"Prefrontal, posterior process size: small, not pro- jecting far posterior of frontal-nasal suture (0); elongate, approaching parietal (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C15,WIL02_REF,Wilson (2002) reference layer,reference,2002,15,MC0015,MC0015,PRF_HOOK,"Prefrontal, posterior process shape: flat (0); hooked (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C16,WIL02_REF,Wilson (2002) reference layer,reference,2002,16,MC0016,MC0016,PO_BROAD_TRANSVERSELY,"Postorbital, ventral process shape: transversely narrow (0); broader transversely than anteropos- teriorly (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C17,WIL02_REF,Wilson (2002) reference layer,reference,2002,17,MC0017,MC0017,PO_LACKS_POSTERIOR_PR.,"Postorbital, posterior process: present (0); absent (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C18,WIL02_REF,Wilson (2002) reference layer,reference,2002,18,MC0018,MC0018,FRONTAL_EXC_FROM_STFOSSA,Frontal contribution to supratemporal fossa: present (0); absent (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C19,WIL02_REF,Wilson (2002) reference layer,reference,2002,19,MC0019,MC0019,FRONTALS_FUSED,"Frontals, midline contact (symphysis): sutured (0) or fused (1) in adult individuals.",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C20,WIL02_REF,Wilson (2002) reference layer,reference,2002,20,MC0020,MC0020,FRONTALS_BROAD,"Frontal, anteroposterior length: approximately twice (0) or less than (1) minimum transverse breadth.",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
