relationship_id,source_occurrences,target_occurrence,canonical_character_id,original_canonical_character_id,relationship_type,confidence,source_block,source_attribution,source_reference_codes,related_non_equivalent_concepts,top_candidate,top_candidate_score,rationale
REL-WU09-001,WIL02_REF:C1,WU09:C1,MC0001,MC0001,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-002,WIL02_REF:C2,WU09:C2,MC0002,MC0002,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-003,WIL02_REF:C3,WU09:C3,MC0003,MC0003,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-004,WIL02_REF:C4,WU09:C4,MC0004,MC0004,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-005,WIL02_REF:C5,WU09:C5,MC0005,MC0005,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-006,WIL02_REF:C6,WU09:C6,MC0006,MC0006,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-007,WIL02_REF:C7,WU09:C7,MC0007,MC0007,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-008,WIL02_REF:C8,WU09:C8,MC0008,MC0008,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-009,WIL02_REF:C9,WU09:C9,MC0009,MC0009,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-010,WIL02_REF:C10,WU09:C10,MC0010,MC0010,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-011,WIL02_REF:C11,WU09:C11,MC0011,MC0011,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-012,WIL02_REF:C12,WU09:C12,MC0012,MC0012,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-013,WIL02_REF:C13,WU09:C13,MC0013,MC0013,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-014,WIL02_REF:C14,WU09:C14,MC0014,MC0014,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-015,WIL02_REF:C15,WU09:C15,MC0015,MC0015,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-016,WIL02_REF:C16,WU09:C16,MC0016,MC0016,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-017,WIL02_REF:C17,WU09:C17,MC0017,MC0017,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-018,WIL02_REF:C18,WU09:C18,MC0018,MC0018,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-019,WIL02_REF:C19,WU09:C19,MC0019,MC0019,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-020,WIL02_REF:C20,WU09:C20,MC0020,MC0020,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-021,WIL02_REF:C21,WU09:C21,MC0021,MC0021,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-022,WIL02_REF:C22,WU09:C22,MC0022,MC0022,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-023,WIL02_REF:C23,WU09:C23,MC0023,MC0023,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
