matrix_a,matrix_b,concepts_a,concepts_b,shared_concepts,union_concepts,jaccard,a_contained_in_b,b_contained_in_a
WU09,WU09,234,234,234,234,1.0,1.0,1.0
WU09,KN10,234,243,234,243,0.9629629629629629,1.0,0.9629629629629629
WU09,GA11,234,77,30,281,0.10676156583629894,0.1282051282051282,0.38961038961038963
WU09,C12,234,334,215,353,0.6090651558073654,0.9188034188034188,0.6437125748502994
WU09,DE12,234,119,60,293,0.20477815699658702,0.2564102564102564,0.5042016806722689
WU09,W02,234,246,234,246,0.9512195121951219,1.0,0.9512195121951219
WU09,M19,234,548,102,680,0.15,0.4358974358974359,0.18613138686131386
WU09,M26,234,576,103,707,0.1456859971711457,0.44017094017094016,0.17881944444444445
KN10,WU09,243,234,234,243,0.9629629629629629,0.9629629629629629,1.0
KN10,KN10,243,243,243,243,1.0,1.0,1.0
KN10,GA11,243,77,31,289,0.10726643598615918,0.12757201646090535,0.4025974025974026
KN10,C12,243,334,217,360,0.6027777777777777,0.8930041152263375,0.6497005988023952
KN10,DE12,243,119,62,300,0.20666666666666667,0.2551440329218107,0.5210084033613446
KN10,W02,243,246,234,255,0.9176470588235294,0.9629629629629629,0.9512195121951219
KN10,M19,243,548,106,685,0.15474452554744525,0.43621399176954734,0.19343065693430658
KN10,M26,243,576,107,712,0.1502808988764045,0.4403292181069959,0.1857638888888889
GA11,WU09,77,234,30,281,0.10676156583629894,0.38961038961038963,0.1282051282051282
GA11,KN10,77,243,31,289,0.10726643598615918,0.4025974025974026,0.12757201646090535
GA11,GA11,77,77,77,77,1.0,1.0,1.0
GA11,C12,77,334,31,380,0.08157894736842106,0.4025974025974026,0.09281437125748503
GA11,DE12,77,119,20,176,0.11363636363636363,0.2597402597402597,0.16806722689075632
GA11,W02,77,246,31,292,0.10616438356164383,0.4025974025974026,0.12601626016260162
GA11,M19,77,548,33,592,0.05574324324324324,0.42857142857142855,0.060218978102189784
GA11,M26,77,576,33,620,0.0532258064516129,0.42857142857142855,0.057291666666666664
C12,WU09,334,234,215,353,0.6090651558073654,0.6437125748502994,0.9188034188034188
C12,KN10,334,243,217,360,0.6027777777777777,0.6497005988023952,0.8930041152263375
C12,GA11,334,77,31,380,0.08157894736842106,0.09281437125748503,0.4025974025974026
C12,C12,334,334,334,334,1.0,1.0,1.0
C12,DE12,334,119,60,393,0.15267175572519084,0.17964071856287425,0.5042016806722689
C12,W02,334,246,217,363,0.5977961432506887,0.6497005988023952,0.8821138211382114
C12,M19,334,548,135,747,0.18072289156626506,0.4041916167664671,0.24635036496350365
C12,M26,334,576,138,772,0.17875647668393782,0.41317365269461076,0.23958333333333334
DE12,WU09,119,234,60,293,0.20477815699658702,0.5042016806722689,0.2564102564102564
DE12,KN10,119,243,62,300,0.20666666666666667,0.5210084033613446,0.2551440329218107
DE12,GA11,119,77,20,176,0.11363636363636363,0.16806722689075632,0.2597402597402597
DE12,C12,119,334,60,393,0.15267175572519084,0.5042016806722689,0.17964071856287425
DE12,DE12,119,119,119,119,1.0,1.0,1.0
DE12,W02,119,246,60,305,0.19672131147540983,0.5042016806722689,0.24390243902439024
DE12,M19,119,548,66,601,0.10981697171381032,0.5546218487394958,0.12043795620437957
DE12,M26,119,576,66,629,0.10492845786963434,0.5546218487394958,0.11458333333333333
W02,WU09,246,234,234,246,0.9512195121951219,0.9512195121951219,1.0
W02,KN10,246,243,234,255,0.9176470588235294,0.9512195121951219,0.9629629629629629
W02,GA11,246,77,31,292,0.10616438356164383,0.12601626016260162,0.4025974025974026
W02,C12,246,334,217,363,0.5977961432506887,0.8821138211382114,0.6497005988023952
W02,DE12,246,119,60,305,0.19672131147540983,0.24390243902439024,0.5042016806722689
W02,W02,246,246,246,246,1.0,1.0,1.0
W02,M19,246,548,104,690,0.15072463768115943,0.42276422764227645,0.1897810218978102
W02,M26,246,576,105,717,0.14644351464435146,0.4268292682926829,0.18229166666666666
M19,WU09,548,234,102,680,0.15,0.18613138686131386,0.4358974358974359
M19,KN10,548,243,106,685,0.15474452554744525,0.19343065693430658,0.43621399176954734
M19,GA11,548,77,33,592,0.05574324324324324,0.060218978102189784,0.42857142857142855
M19,C12,548,334,135,747,0.18072289156626506,0.24635036496350365,0.4041916167664671
M19,DE12,548,119,66,601,0.10981697171381032,0.12043795620437957,0.5546218487394958
M19,W02,548,246,104,690,0.15072463768115943,0.1897810218978102,0.42276422764227645
M19,M19,548,548,548,548,1.0,1.0,1.0
M19,M26,548,576,546,578,0.9446366782006921,0.9963503649635036,0.9479166666666666
M26,WU09,576,234,103,707,0.1456859971711457,0.17881944444444445,0.44017094017094016
M26,KN10,576,243,107,712,0.1502808988764045,0.1857638888888889,0.4403292181069959
M26,GA11,576,77,33,620,0.0532258064516129,0.057291666666666664,0.42857142857142855
M26,C12,576,334,138,772,0.17875647668393782,0.23958333333333334,0.41317365269461076
M26,DE12,576,119,66,629,0.10492845786963434,0.11458333333333333,0.5546218487394958
M26,W02,576,246,105,717,0.14644351464435146,0.18229166666666666,0.4268292682926829
M26,M19,576,548,546,578,0.9446366782006921,0.9479166666666666,0.9963503649635036
M26,M26,576,576,576,576,1.0,1.0,1.0
